"townname","pm25_mass","pm25_so4","pm25_no3","pm25_nh4","pm25_oc","pm25_ec","pm25_om","pm10_oc","pm10_ec","pm10_tc","formic","acetic","hcl","hno3","o3_max","o3106","o3_24","no2","pm10","no_24hr","pm2_5_fr","iacid","oacid","total_acids","lon","lat"
"Alpine",8.74,1.73,1.59,0.88,2.54,0.48,3.04,3.25,0.49,3.75,1.03,2.49,0.41,1.98,65.82,55.05,41.23,12.18,24.73,2.48,10.28,2.39,3.52,5.5,-116.7664109,32.8350521
"Lake Elsinore",12.35,1.9,2.98,1.36,3.64,0.62,4.36,4.66,0.63,5.29,1.18,3.56,0.46,2.63,66.7,54.42,32.23,17.03,34.25,7.07,14.53,3.09,4.74,7.37,-117.3272615,33.6680772
"Lake Gregory",7.66,1.07,2.07,0.91,2.46,0.4,2.96,3.16,0.41,3.57,0.66,2.36,0.28,2.28,84.44,67.01,57.76,7.62,20.05,NA,9.01,2.56,3.02,5.3,-117.275233,34.242901
"Lancaster",8.5,0.91,1.87,0.78,4.43,0.55,5.32,5.68,0.56,8.61,0.88,2.88,0.22,1.8,54.81,43.88,32.86,15.77,25.04,12.68,NA,2.02,3.76,5.56,-118.1541632,34.6867846
"Lompoc",5.96,1.08,0.73,0.41,1.45,0.13,1.74,1.86,0.14,1.99,0.34,0.75,0.33,0.43,43.85,37.74,28.37,4.6,18.4,2.05,NA,0.76,1.09,1.52,-120.4579409,34.6391501
"Long Beach",19.12,3.23,6.22,2.57,5.21,1.36,6.25,6.68,1.39,8.07,1.57,2.94,0.73,2.67,39.44,28.22,18.22,33.11,38.41,36.76,22.23,3.4,4.51,7.18,-118.1937395,33.7700504
"Mira Loma",29.97,2.69,12.2,4.25,11.83,1.25,14.2,15.16,1.28,16.44,1.9,5.14,0.46,3.33,70.65,55.81,26.81,19.62,70.39,26.9,31.55,3.79,7.04,10.37,-117.5159449,33.9845417
"Riverside",22.39,2.43,8.66,3.14,5.27,0.94,6.32,6.75,0.96,7.72,1.72,3.92,0.47,3.43,77.9,62.04,31.5,19.95,41.55,15.48,27.99,3.9,5.64,9.07,-117.3754942,33.9806005
"San Dimas",20.52,2.59,7.2,2.71,5.59,1.17,6.71,7.17,1.19,8.37,2.77,4.24,0.55,4.07,64.26,46.99,21.63,35.47,38.61,42.95,25.33,4.62,7.01,11.08,-117.8067257,34.1066756
"Atascadero",7.48,0.79,1.38,0.61,3.31,0.4,3.97,4.24,0.41,4.65,0.74,2.11,0.31,0.97,51.96,43.29,26.21,12.56,20.93,8.71,NA,1.28,2.85,3.82,-120.6707255,35.4894169
"Santa Maria",7.19,1.44,1.21,0.59,2.39,0.34,2.86,3.06,0.35,3.41,0.52,1,0.37,0.78,38.27,32.17,23.68,11.95,18.52,4.74,9.46,1.15,1.52,2.3,-120.4357191,34.9530337
"Upland",22.46,2.65,7.75,2.96,6.49,1.19,7.79,8.32,1.22,9.54,2.67,4.73,0.46,4.03,63.83,46.5,22.2,37.97,40.8,18.48,27.73,4.49,7.4,11.43,-117.6483876,34.09751
